,index,Date,Open,High,Low,Close,Volume,Colour
656,656,05/10/2011,2.619999886,2.619999886,2.589999914,,70000,lightcoral
657,657,06/10/2011,2.640000105,2.660000086,2.640000105,,28500,lightcoral
658,658,07/10/2011,2.650000095,2.700000048,2.650000095,,29100,lightcoral
659,659,10/10/2011,2.710000038,2.720000029,2.710000038,,9700,lightcoral
660,660,11/10/2011,2.75999999,2.789999962,2.75999999,,58200,lightcoral
661,661,12/10/2011,2.74000001,2.789999962,2.730000019,,9100,lightcoral
662,662,13/10/2011,2.779999971,2.789999962,2.769999981,,75100,lightcoral
663,663,14/10/2011,2.769999981,2.769999981,2.75999999,,128500,lightcoral
664,664,17/10/2011,2.779999971,2.809999943,2.769999981,,973700,lightcoral
665,665,18/10/2011,2.779999971,2.779999971,2.75999999,,8600,lightcoral
666,666,19/10/2011,2.75999999,2.75999999,2.75,,1500,lightcoral
667,667,20/10/2011,2.74000001,2.74000001,2.720000029,,2300,lightcoral
668,668,21/10/2011,2.75,2.75,2.75,,2700,lightcoral
669,669,24/10/2011,2.769999981,2.789999962,2.769999981,,18200,lightcoral
670,670,25/10/2011,2.779999971,2.789999962,2.779999971,,251500,lightcoral
671,671,27/10/2011,2.789999962,2.900000095,2.789999962,,51800,lightcoral
672,672,28/10/2011,2.900000095,2.920000076,2.900000095,2.920000076,245900,lightcoral
673,673,31/10/2011,2.910000086,2.910000086,2.869999886,2.890000105,644100,lightcoral
674,674,01/11/2011,2.859999895,2.859999895,2.559999943,2.819999933,22400,lightcoral
675,675,02/11/2011,2.789999962,2.849999905,2.769999981,2.849999905,107900,lightcoral
676,676,03/11/2011,2.849999905,2.849999905,2.809999943,2.809999943,34300,lightcoral
677,677,04/11/2011,2.880000114,2.890000105,2.880000114,2.880000114,261300,lightcoral
678,678,08/11/2011,2.880000114,2.880000114,2.869999886,2.880000114,9600,lightcoral
679,679,09/11/2011,2.900000095,2.900000095,2.880000114,2.890000105,3800,lightcoral
680,680,10/11/2011,2.779999971,2.809999943,2.779999971,2.789999962,29000,lightcoral
681,681,11/11/2011,2.819999933,2.819999933,2.809999943,2.809999943,24700,lightcoral
682,682,14/11/2011,2.859999895,2.859999895,2.859999895,2.859999895,6800,lightcoral
683,683,15/11/2011,2.837199926,2.837199926,2.837199926,2.837199926,0,lightcoral
684,684,16/11/2011,2.869999886,2.869999886,2.799999952,2.799999952,181300,lightcoral
685,685,17/11/2011,2.809999943,2.819999933,2.809999943,2.819999933,11800,lightcoral
686,686,18/11/2011,2.769999981,2.779999971,2.769999981,2.769999981,49000,lightcoral
687,687,21/11/2011,2.74000001,2.74000001,2.720000029,2.730000019,18700,lightcoral
688,688,22/11/2011,2.720000029,2.730000019,2.720000029,2.720000029,6300,lightcoral
689,689,23/11/2011,2.720000029,2.720000029,2.700000048,2.710000038,14900,lightcoral
690,690,24/11/2011,2.680000067,2.700000048,2.680000067,2.700000048,6200,lightcoral
691,691,25/11/2011,2.690000057,2.690000057,2.670000076,2.670000076,35100,lightcoral
692,692,28/11/2011,2.700000048,2.710000038,2.700000048,2.710000038,208800,lightcoral
693,693,29/11/2011,2.730000019,2.74000001,2.730000019,2.730000019,324100,lightcoral
694,694,30/11/2011,2.720000029,2.730000019,2.700000048,2.730000019,7000,lightcoral
695,695,01/12/2011,2.829999924,2.829999924,2.779999971,2.779999971,434100,lightcoral
696,696,02/12/2011,2.779999971,2.779999971,2.779999971,2.779999971,8400,lightcoral
697,697,05/12/2011,2.789999962,2.789999962,2.789999962,2.789999962,100000,lightcoral
698,698,06/12/2011,2.769999981,2.769999981,2.769999981,2.769999981,3400,lightcoral
699,699,07/12/2011,2.808500051,2.808500051,2.808500051,2.808500051,0,lightcoral
700,700,08/12/2011,2.799999952,2.799999952,2.75999999,2.75999999,8700,lightcoral
701,701,09/12/2011,2.75999999,2.75999999,2.720000029,2.720000029,9700,lightcoral
702,702,12/12/2011,2.730000019,2.730000019,2.730000019,2.730000019,3800,lightcoral
703,703,13/12/2011,2.720000029,2.720000029,2.720000029,2.720000029,100,lightcoral
704,704,14/12/2011,2.74000001,2.74000001,2.700000048,2.700000048,27200,lightcoral
705,705,15/12/2011,2.680000067,2.680000067,2.660000086,2.670000076,68200,lightcoral
706,706,16/12/2011,2.680000067,2.680000067,2.670000076,2.670000076,17900,lightcoral
707,707,19/12/2011,2.650000095,2.650000095,2.650000095,2.650000095,5800,lightcoral
708,708,20/12/2011,2.650000095,2.660000086,2.650000095,2.650000095,85200,lightcoral
709,709,21/12/2011,2.700000048,2.710000038,2.690000057,,4300,lightcoral
710,710,22/12/2011,2.710000038,2.710000038,2.700000048,,29000,lightcoral
711,711,23/12/2011,2.720000029,2.730000019,2.710000038,,4200,lightcoral
712,712,27/12/2011,2.705899954,2.705899954,2.705899954,,0,lightcoral
713,713,28/12/2011,2.720000029,2.720000029,2.710000038,,18200,lightcoral
714,714,29/12/2011,2.75,2.75,2.710000038,,18000,lightcoral
715,715,30/12/2011,2.710000038,2.710000038,2.680000067,,230600,lightcoral
716,716,03/01/2012,2.720000029,2.720000029,2.720000029,,100,lightcoral
717,717,04/01/2012,2.730000019,2.74000001,2.730000019,,5000,lightcoral
718,718,05/01/2012,2.75,2.75,2.75,,7000,lightcoral
719,719,06/01/2012,2.75,2.75,2.74000001,,329400,lightcoral
720,720,09/01/2012,2.720000029,2.720000029,2.720000029,,1000,lightcoral
721,721,10/01/2012,2.74000001,2.74000001,2.74000001,,100,lightcoral
722,722,11/01/2012,2.75999999,2.779999971,2.75999999,,171000,lightcoral
723,723,12/01/2012,2.75999999,2.779999971,2.75999999,,1186100,lightcoral
724,724,13/01/2012,2.789999962,2.809999943,2.789999962,,3800,lightcoral
725,725,16/01/2012,2.809999943,2.809999943,2.799999952,,1900,lightcoral
726,726,17/01/2012,2.789999962,2.849999905,2.789999962,,217500,lightcoral
727,727,18/01/2012,2.829999924,2.859999895,2.829999924,,892000,lightcoral
728,728,19/01/2012,2.843300104,2.843300104,2.843300104,,0,lightcoral
729,729,20/01/2012,2.849999905,2.880000114,2.849999905,,3600,lightcoral
730,730,25/01/2012,2.880000114,2.920000076,2.880000114,,102400,lightcoral
731,731,26/01/2012,2.920000076,2.930000067,2.920000076,,126800,lightcoral
732,732,27/01/2012,2.569999933,2.940000057,2.569999933,,89800,lightcoral
733,733,30/01/2012,2.950000048,2.950000048,2.910000086,,28700,lightcoral
734,734,31/01/2012,2.869999886,2.930000067,2.869999886,,22600,lightcoral
735,735,01/02/2012,2.950000048,2.960000038,2.920000076,,56100,lightcoral
736,736,02/02/2012,2.950000048,2.960000038,2.950000048,,25400,lightcoral
737,737,03/02/2012,2.950000048,2.950000048,2.950000048,,362100,lightcoral
738,738,06/02/2012,2.980000019,3,2.980000019,,3600,lightcoral
739,739,07/02/2012,3.00999999,3.00999999,2.980000019,,23800,lightcoral
